关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
603777,半年亏损5000万后，来伊份实控人还要“套现”8200万,10月14日，“零食第一股”来伊份（603777.SH）召开2025年半年度业绩说明会，管理层就投资者关心的业绩问题进行解答,2025-10-14 20:31:25,国际金融报,http://finance.eastmoney.com/a/202510143533803572.html
603777,来伊份：计划多举措改善单店盈利 5000万财务资助有望强化加盟商合作黏性|直击业绩会,财联社10月14日讯（记者吴蔚玲）新兴渠道冲击、门店数量下滑，来伊份（603777.SH）上半年业绩承压。,2025-10-14 18:47:46,财联社,http://finance.eastmoney.com/a/202510143533750065.html
603777,停牌！依依股份拟收购高爷家猫粮股权,另外，知名零食公司来伊份（603777）也参投，股份不足1%。中宠股份不仅是投资人，同样也是高爷家的竞争对手。,2025-10-14 18:14:27,财中社,http://finance.eastmoney.com/a/202510143533719513.html
603777,来伊份控股股东爱屋企管减持668万股,来伊份（603777）控股股东爱屋企管于2025年9月24日至2025年9月30日通过集中竞价和大宗交易方式累计减持公司股份,2025-09-30 18:42:11,财中社,http://finance.eastmoney.com/a/202509303527579549.html
603777,五芳斋拟赴港上市谋“出海”，“带血创可贴”事件暴露品控漏洞，去年粽子收入下滑近两成,事件发生后，来伊份（603777.SH）全面下架该批次产品，五芳斋也发布声明称已成立专项工作小组对生产流程进行排查。,2025-09-28 11:12:39,蓝鲸新闻,http://finance.eastmoney.com/a/202509283525497511.html
603777,来伊份拟“半价”激励绑定子公司！将向加盟商“输血”5000万元扩张能否破局？,9月26日晚间，国内“休闲零食第一股”来伊份（603777）发布公告，披露董事会审议通过的多项重要议案，包括拟向控股子公司,2025-09-27 19:30:49,深圳商报·读创,http://finance.eastmoney.com/a/202509273525422164.html
603777,来伊份拟将向加盟商或联营商提供不超5000万元财务资助,9月26日，来伊份（603777）发布公告，公司将向公司加盟商或联营商提供财务资助，该资金仅限用于公司加盟或联营门店业务的经营,2025-09-26 20:46:29,财中社,http://finance.eastmoney.com/a/202509263524959333.html
603777,来伊份控股股东已减持553万股,来伊份（603777）发布公告，控股股东上海爱屋企业管理有限公司于2025年9月24日至2025年9月26日通过集中竞价的方式减持公司股份,2025-09-26 20:46:31,财中社,http://finance.eastmoney.com/a/202509263524959195.html
603777,传统零食巨头在集体“下坠”：流量红利消失、线下门店冷清，企业“掉头”谋出路,来伊份（603777.SH）与好想你（002582.SZ）同期亦分别亏损5068.39万元、1983.88万元。,2025-09-15 13:38:27,蓝鲸新闻,http://finance.eastmoney.com/a/202509153513669347.html
603777,押注魔芋大单品，扩张零食量贩店，“盐津铺子们”继续跑马圈地,只松鼠（300783.SZ）、良品铺子（603719.SH）、来伊份（603777.SH）、,2025-09-12 15:04:53,21世纪经济报道,http://finance.eastmoney.com/a/202509123512236291.html
603777,业绩分化明显 休闲食品公司亟须业务破局,亟须寻找新业绩增长点来伊份（603777.SH）上半年营业收入同比增长8.21%至19.40亿元，,2025-09-09 03:12:52,经济参考报,http://finance.eastmoney.com/a/202509093507946253.html
